Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 2938,https://www.congress.gov,116,Public Law,PL,HAVEN Act,,https://www.congress.gov/116/plaws/publ52/PLAW-116publ52.pdf
H.R. 2695,https://www.congress.gov,116,Public Law,PL,"To rename the Success Dam in Tulare County, California, as the Richard L. Schafer Dam.",,https://www.congress.gov/116/plaws/publ41/PLAW-116publ41.pdf
H.R. 2476,https://www.congress.gov,116,Public Law,PL,Securing American Nonprofit Organizations Against Terrorism Act of 2019,,https://www.congress.gov/116/plaws/publ108/PLAW-116publ108.pdf
H.R. 2454,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 123 East Sharpfish Street in Rosebud, South Dakota, as the ""Ben Reifel Post Office Building"".",,https://www.congress.gov
H.R. 2451,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 575 Dexter Street in Central Falls, Rhode Island, as the ""Elizabeth Buffum Chace Post Office"".",,https://www.congress.gov/116/plaws/publ88/PLAW-116publ88.pdf
H.R. 2423,https://www.congress.gov,116,Public Law,PL,Women's Suffrage Centennial Commemorative Coin Act,,https://www.congress.gov/116/plaws/publ71/PLAW-116publ71.pdf
H.R. 2385,https://www.congress.gov,116,Public Law,PL,To permit the Secretary of Veterans Affairs to establish a grant program to conduct cemetery research and produce educational materials for the Veterans Legacy Program.,,https://www.congress.gov/116/plaws/publ107/PLAW-116publ107.pdf
H.R. 2379,https://www.congress.gov,116,Public Law,PL,To reauthorize the Bulletproof Vest Partnership Grant Program.,,https://www.congress.gov/116/plaws/publ18/PLAW-116publ18.pdf
H.R. 2372,https://www.congress.gov,116,Public Law,PL,Veterans' Care Quality Transparency Act,,https://www.congress.gov/116/plaws/publ177/PLAW-116publ177.pdf
H.R. 2359,https://www.congress.gov,116,Public Law,PL,Whole Veteran Act,,https://www.congress.gov/116/plaws/publ185/PLAW-116publ185.pdf
H.R. 2336,https://www.congress.gov,116,Public Law,PL,Family Farmer Relief Act of 2019,,https://www.congress.gov/116/plaws/publ51/PLAW-116publ51.pdf
H.R. 2334,https://www.congress.gov,116,Public Law,PL,"To designate the Department of Veterans Affairs community-based outpatient clinic in Odessa, Texas, as the ""Wilson and Young Medal of Honor VA Clinic"".",,https://www.congress.gov/116/plaws/publ87/PLAW-116publ87.pdf
H.R. 2333,https://www.congress.gov,116,Public Law,PL,Support for Suicide Prevention Coordinators Act,,https://www.congress.gov/116/plaws/publ96/PLAW-116publ96.pdf
H.R. 2325,https://www.congress.gov,116,Public Law,PL,"To designate the facility of the United States Postal Service located at 100 Calle Alondra in San Juan, Puerto Rico, as the ""65th Infantry Regiment Post Office Building"".",,https://www.congress.gov/116/plaws/publ86/PLAW-116publ86.pdf
